,Entity,Code,Year,Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables excluding bioenergy (% electricity),Bioenergy (% electricity)
6794,World,OWID_WRL,1985,37.926273,14.43167,20.031889,0.00011886364,0.00064979476,11.219706,15.065249,,
6795,World,OWID_WRL,1986,37.717766,14.07606,19.71494,0.00014918244,0.0013640289,11.459243,15.668408,,
6796,World,OWID_WRL,1987,38.038494,14.215455,19.064466,9.9391924e-05,0.0018314458,11.071478,16.261246,,
6797,World,OWID_WRL,1988,37.71253,13.835014,18.844994,9.154247e-05,0.0029770257,11.262006,16.980219,,
6798,World,OWID_WRL,1989,37.54546,14.828184,17.910263,0.0022494982,0.022731273,11.555003,16.685394,,
6799,World,OWID_WRL,1990,37.287308,14.962957,18.048061,0.0032463195,0.03036908,11.409895,16.724758,,
6800,World,OWID_WRL,1991,37.278732,14.851546,18.07346,0.0041333283,0.033435475,11.0457325,17.149899,,
6801,World,OWID_WRL,1992,37.6827,14.829936,17.902708,0.0037823354,0.03836941,10.767692,17.121485,,
6802,World,OWID_WRL,1993,37.49895,14.793038,18.583853,0.0044184383,0.045220885,10.053525,17.34069,,
6803,World,OWID_WRL,1994,37.83953,14.896025,18.231459,0.004619495,0.05511486,10.075776,17.222841,,
6804,World,OWID_WRL,1995,37.641575,15.221087,18.559181,0.004773508,0.061736863,9.414805,17.354002,,
6805,World,OWID_WRL,1996,38.254063,15.226993,18.243137,0.0050677867,0.06671399,9.031228,17.444244,,
6806,World,OWID_WRL,1997,38.17398,16.074696,18.12619,0.005305333,0.08505844,8.809511,16.91765,,
6807,World,OWID_WRL,1998,37.930298,16.596264,17.786337,0.005594256,0.10971768,8.924826,16.755583,,
6808,World,OWID_WRL,1999,37.66867,17.41881,17.423294,0.0060646986,0.14214554,8.491295,16.910147,,
6809,World,OWID_WRL,2000,38.207615,18.132305,17.522919,0.007215615,0.20818384,7.8278728,16.752453,0.3498905,0.9915457
6810,World,OWID_WRL,2001,38.190437,18.846586,16.875233,0.008886794,0.25120005,7.606042,16.942245,0.3386856,0.94068354
6811,World,OWID_WRL,2002,38.52282,19.501574,16.550293,0.010746035,0.3309016,7.212561,16.544378,0.33338144,0.9933406
6812,World,OWID_WRL,2003,39.69522,19.634138,15.99793,0.012712512,0.38954332,7.0813,15.830517,0.32941988,1.0292222
6813,World,OWID_WRL,2004,39.19622,20.142673,16.368427,0.015861617,0.49902636,6.668903,15.702005,0.32659712,1.0802873
6814,World,OWID_WRL,2005,39.672253,20.326445,16.348303,0.021291252,0.5851715,6.41813,15.134532,0.31987572,1.1740042
6815,World,OWID_WRL,2006,40.31818,20.734606,16.270674,0.027681531,0.71934056,5.671409,14.742285,0.31511444,1.2007067
6816,World,OWID_WRL,2007,41.02245,21.40052,15.752915,0.035769187,0.88342655,5.543346,13.785197,0.31432432,1.2620528
6817,World,OWID_WRL,2008,40.37362,21.617453,16.437683,0.057811968,1.1199542,5.2319827,13.516805,0.3231058,1.3215836
6818,World,OWID_WRL,2009,40.023613,21.889486,16.531433,0.09817634,1.4113553,4.8738236,13.398845,0.33540598,1.4378561
6819,World,OWID_WRL,2010,39.98006,22.664932,16.30912,0.14841986,1.6538417,4.5369153,12.841258,0.3155296,1.549924
6820,World,OWID_WRL,2011,40.754436,22.22099,16.08111,0.28580037,2.035259,4.8211308,11.900293,0.30996746,1.5910093
6821,World,OWID_WRL,2012,39.99184,22.9538,16.446566,0.42971745,2.3879309,4.952515,10.846022,0.30830795,1.6833044
6822,World,OWID_WRL,2013,40.84381,21.877178,16.537172,0.57626814,2.8129199,4.664223,10.6055,0.30526114,1.7776637
6823,World,OWID_WRL,2014,40.58341,21.940313,16.49823,0.8391595,3.061469,4.308568,10.560937,0.31815016,1.8897641
6824,World,OWID_WRL,2015,38.747765,23.095524,16.360165,1.0773177,3.5015469,4.2805276,10.576413,0.33126456,2.0294762
6825,World,OWID_WRL,2016,37.990463,23.50064,16.456244,1.3549528,3.9507895,3.9505014,10.455674,0.33170924,2.0090268
6826,World,OWID_WRL,2017,38.048794,23.305796,16.18491,1.7764248,4.5411644,3.486834,10.252504,0.33371404,2.069858
6827,World,OWID_WRL,2018,38.06258,23.239826,16.062536,2.1933014,4.8621917,3.0679548,10.065911,0.33468738,2.1110134
6828,World,OWID_WRL,2019,36.72795,23.628128,15.935737,2.6573718,5.382968,2.8098621,10.328603,0.33748075,2.1918995
6829,World,OWID_WRL,2020,35.401344,23.427538,16.498856,3.2361426,6.0413685,2.7065804,10.0327015,0.3507056,2.304762
6830,World,OWID_WRL,2021,36.392963,22.739258,15.21208,3.6757288,6.652536,2.7360463,9.856606,0.33639532,2.3983912
